Title: 
Last Updated Date: Last Updated 17 May 2023 10:32:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,7.0,659.813,0,250
JUN 23,-,-,-,-,12.978,670.258,0,497
JLY 23,-,-,-,-,11.667,669.167,0,377
AUG 23,-,-,-,-,11.076,671.446,0,367
SEP 23,-,-,-,-,11.0,674.417,0,129
OCT 23,-,-,-,-,9.966,674.659,0,143
NOV 23,-,-,-,-,9.705,670.682,0,93
DEC 23,-,-,-,-,9.462,668.6,0,81
JAN 24,-,-,-,-,10.25,672.068,0,32
FEB 24,-,-,-,-,10.083,670.583,0,27
MAR 24,-,-,-,-,9.675,668.375,0,12
APR 24,-,-,-,-,9.5,665.659,0,16
MAY 24,-,-,-,-,9.326,662.663,0,31
JUN 24,-,-,-,-,9.25,661.1,0,16
JLY 24,-,-,-,-,9.25,660.674,0,19
AUG 24,-,-,-,-,9.25,660.159,0,34
SEP 24,-,-,-,-,9.405,660.155,0,19
OCT 24,-,-,-,-,9.327,659.207,0,12
NOV 24,-,-,-,-,9.084,657.417,0,12
DEC 24,-,-,-,-,9.0,656.44,0,27
FEB 25,-,-,-,-,8.75,658.425,0,15
MAY 25,-,-,-,-,8.75,652.295,0,15
AUG 25,-,-,-,-,8.75,648.667,0,15
DEC 25,-,-,-,-,8.25,643.614,0,15
