Title: Micro Gasoil 0.1% Barges FOB ARA (Platts)
Last Updated Date: Last Updated 18 May 2023 10:32:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,-0.45,659.363,20,250
JUN 23,-,-,-,-,-0.489,669.769,0,497
JLY 23,-,-,-,-,-0.25,668.917,0,377
AUG 23,-,-,-,-,-0.076,671.37,0,367
SEP 23,-,-,-,-,0.0,674.417,0,129
OCT 23,-,-,-,-,0.0,674.659,0,143
NOV 23,-,-,-,-,-0.171,670.511,0,93
DEC 23,-,-,-,-,-0.25,668.35,0,81
JAN 24,-,-,-,-,-0.42,671.648,0,32
FEB 24,-,-,-,-,-0.666,669.917,0,27
MAR 24,-,-,-,-,-0.75,667.625,0,12
APR 24,-,-,-,-,-0.5,665.159,0,16
MAY 24,-,-,-,-,-0.5,662.163,0,31
JUN 24,-,-,-,-,-0.5,660.6,0,16
JLY 24,-,-,-,-,-0.913,659.761,0,19
AUG 24,-,-,-,-,-0.829,659.33,0,34
SEP 24,-,-,-,-,-0.75,659.405,0,19
OCT 24,-,-,-,-,-0.75,658.457,0,12
NOV 24,-,-,-,-,-0.584,656.833,0,12
DEC 24,-,-,-,-,-0.5,655.94,0,27
FEB 25,-,-,-,-,-0.662,657.763,0,15
MAY 25,-,-,-,-,-1.42,650.875,0,15
AUG 25,-,-,-,-,-1.334,647.333,0,15
DEC 25,-,-,-,-,-1.0,642.614,0,15
