Title: NY Harbor ULSD Financial
Last Updated Date: Last Updated 18 May 2023 10:32:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,-0.0082,2.3664,0,922
JUN 23,-,-,-,-,-0.0221,2.3854,0,1755
JLY 23,-,-,-,-,-0.0234,2.3825,0,1128
AUG 23,-,-,-,-,-0.0232,2.3864,0,986
SEP 23,-,-,-,-,-0.0226,2.3894,0,964
OCT 23,-,-,-,-,-0.0225,2.3876,0,817
NOV 23,-,-,-,-,-0.0226,2.3825,0,764
DEC 23,-,-,-,-,-0.0232,2.3801,0,1733
JAN 24,-,-,-,-,-0.024,2.3741,5,588
FEB 24,-,-,-,-,-0.0242,2.3624,5,486
MAR 24,-,-,-,-,-0.0237,2.3439,5,493
APR 24,-,-,-,-,-0.0214,2.3342,0,323
MAY 24,-,-,-,-,-0.0196,2.3273,0,315
JUN 24,-,-,-,-,-0.0185,2.3243,0,313
JLY 24,-,-,-,-,-0.0175,2.3218,0,226
AUG 24,-,-,-,-,-0.0164,2.32,0,204
SEP 24,-,-,-,-,-0.0154,2.3189,0,206
OCT 24,-,-,-,-,-0.0146,2.3169,0,213
NOV 24,-,-,-,-,-0.0138,2.3143,0,214
DEC 24,-,-,-,-,-0.0138,2.3117,0,211
JAN 25,2.3300,2.3300,2.3300,2.3300,-0.0138,2.3102,1,14
FEB 25,-,-,-,-,-0.0139,2.3057,0,14
MAR 25,2.3150,2.3175B,2.3150,2.3150,-0.013,2.2918,1,14
APR 25,-,-,-,-,-0.0136,2.2858,0,14
MAY 25,-,-,-,-,-0.0139,2.2776,0,14
JUN 25,-,-,-,-,-0.0144,2.2801,0,14
JLY 25,2.3000,2.3000,2.3000,2.3000,-0.0137,2.2804,1,14
AUG 25,2.2975,2.3000B,2.2975,2.2975,-0.0144,2.2766,1,14
SEP 25,-,-,-,-,-0.013,2.2727,0,14
OCT 25,2.2850,2.2850,2.2850,2.2850,-0.0126,2.2653,1,14
NOV 25,-,-,-,-,-0.0122,2.2549,0,14
DEC 25,2.2800,2.2800,2.2800,2.2800,-0.0122,2.2614,1,14
JAN 26,-,-,-,-,-0.0122,2.2604,0,1
FEB 26,-,-,-,-,-0.0122,2.2562,0,1
MAR 26,-,-,-,-,-0.0122,2.2454,0,1
APR 26,-,-,-,-,-0.0122,2.233,0,1
MAY 26,-,-,-,-,-0.0122,2.2186,0,1
JUN 26,-,-,-,-,-0.0122,2.2215,0,1
JLY 26,-,-,-,-,-0.0122,2.2194,0,0
AUG 26,-,-,-,-,-0.0122,2.2148,0,0
SEP 26,-,-,-,-,-0.0122,2.2135,0,0
OCT 26,-,-,-,-,-0.0122,2.207,0,0
NOV 26,-,-,-,-,-0.0122,2.1924,0,0
DEC 26,-,-,-,-,-0.0122,2.1993,0,0
