Title: ULSD 10ppm Cargoes CIF NWE (Platts) vs. Low Sulphur Gasoil
Last Updated Date: Last Updated 19 May 2023 10:32:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
JAN 24,-,-,-,-,0.333,12.458,0,1
FEB 24,-,-,-,-,0.333,12.458,0,1
MAR 24,-,-,-,-,0.333,12.458,0,1
APR 24,-,-,-,-,0.083,12.75,0,1
MAY 24,-,-,-,-,0.083,12.75,0,1
JUN 24,-,-,-,-,0.083,12.75,0,1
JLY 24,-,-,-,-,0.0,12.5,0,1
AUG 24,-,-,-,-,0.0,12.5,0,1
SEP 24,-,-,-,-,0.0,12.5,0,1
OCT 24,-,-,-,-,0.5,13.0,0,1
NOV 24,-,-,-,-,0.5,13.0,0,1
DEC 24,-,-,-,-,0.5,13.0,0,1
