Title: British Pound
Last Updated Date: Last Updated 18 May 2023 06:02:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
JUN 23,1.2499,1.2501,1.2400,1.2417,-0.0081,1.2411,81325,231964
JLY 23,1.2461,1.2507B,1.2407A,1.2407A,-0.0081,1.2418,56,222
AUG 23,1.2455,1.2512B,1.2413A,1.2438B,-0.008,1.2424,79,9
SEP 23,1.2510,1.2517B,1.2419A,1.2433A,-0.0081,1.2429,165,4035
OCT 23,-,-,1.2481A,1.2481A,-0.0081,1.2432,0,0
DEC 23,1.2460,1.2518B,1.2427A,1.2476B,-0.0081,1.2436,3,8801
MAR 24,-,1.2520B,1.2429A,1.2520B,-0.008,1.2436,0,145
JUN 24,-,-,1.2416A,1.2416A,-0.0081,1.2422,0,80
SEP 24,-,-,1.2399A,1.2399A,-0.008,1.24,0,21
DEC 24,-,-,-,-,-0.0081,1.2377,0,0
MAR 25,-,-,-,-,-0.0081,1.2355,0,0
JUN 25,-,-,-,-,-0.008,1.2335,0,0
SEP 25,-,-,-,-,-0.008,1.232,0,0
DEC 25,-,-,-,-,-0.0079,1.2305,0,0
MAR 26,-,-,-,-,-0.0079,1.2289,0,0
JUN 26,-,-,-,-,-0.0078,1.2274,0,0
SEP 26,-,-,-,-,-0.0077,1.2259,0,0
DEC 26,-,-,-,-,-0.0076,1.2244,0,0
MAR 27,-,-,-,-,-0.0076,1.2229,0,0
JUN 27,-,-,-,-,-0.0075,1.2214,0,0
SEP 27,-,-,-,-,-0.0075,1.2198,0,0
DEC 27,-,-,-,-,-0.0074,1.2183,0,0
MAR 28,-,-,-,-,-0.0073,1.2168,0,0
