Title: 
Last Updated Date: Last Updated 19 May 2023 06:02:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
JUN 23,1.2412,1.2492,1.2401,1.2454,0.0046,1.2457,86787,226751
JLY 23,1.2427,1.2497B,1.2408A,1.2451A,0.0045,1.2463,33,250
AUG 23,1.2462,1.2503B,1.2414A,1.2503B,0.0045,1.2469,22,75
SEP 23,1.2436,1.2508,1.2419A,1.2472,0.0045,1.2474,163,4128
OCT 23,-,1.2446B,-,1.2446B,0.0045,1.2477,0,0
DEC 23,-,1.2501B,1.2430A,1.2501B,0.0045,1.2481,2,8801
MAR 24,1.2459,1.2510B,1.2430A,1.2510B,0.0044,1.248,2,145
JUN 24,-,1.2492B,1.2419A,1.2492B,0.0044,1.2466,0,80
SEP 24,-,1.2475B,-,1.2475B,0.0044,1.2444,0,21
DEC 24,-,-,-,-,0.0045,1.2422,0,0
MAR 25,-,-,-,-,0.0046,1.2401,0,0
JUN 25,-,-,-,-,0.0046,1.2381,0,0
SEP 25,-,-,-,-,0.0045,1.2365,0,0
DEC 25,-,-,-,-,0.0045,1.235,0,0
MAR 26,-,-,-,-,0.0046,1.2335,0,0
JUN 26,-,-,-,-,0.0045,1.2319,0,0
SEP 26,-,-,-,-,0.0045,1.2304,0,0
DEC 26,-,-,-,-,0.0044,1.2288,0,0
MAR 27,-,-,-,-,0.0044,1.2273,0,0
JUN 27,-,-,-,-,0.0043,1.2257,0,0
SEP 27,-,-,-,-,0.0044,1.2242,0,0
DEC 27,-,-,-,-,0.0043,1.2226,0,0
MAR 28,-,-,-,-,0.0043,1.2211,0,0
