Title: EUROPEAN LOW SULPHUR GASOIL FINANCIAL FUTURES - SETTLEMENTS
Last Updated Date: Last Updated 19 May 2023 10:32:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,-1.467,681.348,0,3
JUN 23,-,-,-,-,-4.261,685.841,0,38
JLY 23,-,-,-,-,-4.334,683.583,0,1
AUG 23,-,-,-,-,-4.077,684.293,0,1
SEP 23,-,-,-,-,-3.667,686.25,0,1
OCT 23,-,-,-,-,-3.5,685.409,0,4
NOV 23,-,-,-,-,-3.329,681.432,0,4
DEC 23,-,-,-,-,-3.25,679.35,0,26
JAN 24,-,-,-,-,-3.25,678.148,0,6
