Title: 
Last Updated Date: 
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,7.0,659.813,0,250
JUN 23,-,-,-,-,12.978,670.258,0,497
JLY 23,-,-,-,-,11.667,669.167,0,377
AUG 23,-,-,-,-,11.076,671.446,0,367
SEP 23,-,-,-,-,11.0,674.417,0,129
OCT 23,-,-,-,-,9.966,674.659,0,143
NOV 23,-,-,-,-,9.705,670.682,0,93
DEC 23,-,-,-,-,9.462,668.6,0,81
JAN 24,-,-,-,-,10.25,672.068,0,32
FEB 24,-,-,-,-,10.083,670.583,0,27
MAR 24,-,-,-,-,9.675,668.375,0,12
APR 24,-,-,-,-,9.5,665.659,0,16
