Title: NY Harbor ULSD Financial
Last Updated Date: Last Updated 17 May 2023 10:32:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,0.0267,2.3746,0,922
JUN 23,-,-,-,-,0.0608,2.4075,0,1755
JLY 23,-,-,-,-,0.0606,2.4059,0,1128
AUG 23,-,-,-,-,0.0593,2.4096,0,986
SEP 23,-,-,-,-,0.0578,2.412,0,964
OCT 23,-,-,-,-,0.0561,2.4101,0,817
NOV 23,-,-,-,-,0.0549,2.4051,0,764
DEC 23,-,-,-,-,0.053,2.4033,0,1733
JAN 24,-,-,-,-,0.0513,2.3981,18,570
FEB 24,-,-,-,-,0.0498,2.3866,18,468
MAR 24,-,-,-,-,0.048,2.3676,18,475
APR 24,-,-,-,-,0.0461,2.3556,0,323
