Title: 
Last Updated Date: Last Updated 17 May 2023 10:32:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,0.0267,2.3746,0,922
JUN 23,-,-,-,-,0.0608,2.4075,0,1755
JLY 23,-,-,-,-,0.0606,2.4059,0,1128
AUG 23,-,-,-,-,0.0593,2.4096,0,986
SEP 23,-,-,-,-,0.0578,2.412,0,964
OCT 23,-,-,-,-,0.0561,2.4101,0,817
NOV 23,-,-,-,-,0.0549,2.4051,0,764
DEC 23,-,-,-,-,0.053,2.4033,0,1733
JAN 24,-,-,-,-,0.0513,2.3981,18,570
FEB 24,-,-,-,-,0.0498,2.3866,18,468
MAR 24,-,-,-,-,0.048,2.3676,18,475
APR 24,-,-,-,-,0.0461,2.3556,0,323
MAY 24,-,-,-,-,0.045,2.3469,0,315
JUN 24,-,-,-,-,0.0434,2.3428,0,313
JLY 24,-,-,-,-,0.0419,2.3393,0,226
AUG 24,-,-,-,-,0.0406,2.3364,0,204
SEP 24,-,-,-,-,0.0403,2.3343,0,206
OCT 24,-,-,-,-,0.0405,2.3315,0,213
NOV 24,-,-,-,-,0.0402,2.3281,0,214
DEC 24,-,-,-,-,0.0401,2.3255,0,211
JAN 25,-,-,-,-,0.0391,2.324,0,14
FEB 25,-,-,-,-,0.0385,2.3196,0,14
MAR 25,-,-,-,-,0.0367,2.3048,0,14
APR 25,-,-,-,-,0.0366,2.2994,0,14
MAY 25,-,-,-,-,0.0365,2.2915,0,14
JUN 25,-,-,-,-,0.0357,2.2945,0,14
JLY 25,-,-,-,-,0.0352,2.2941,0,14
AUG 25,-,-,-,-,0.0359,2.291,0,14
SEP 25,-,-,-,-,0.0336,2.2857,0,14
OCT 25,-,-,-,-,0.0324,2.2779,0,14
NOV 25,-,-,-,-,0.0312,2.2671,0,14
DEC 25,-,-,-,-,0.0312,2.2736,0,14
JAN 26,2.3150,2.3150,2.3150,2.3150,0.0312,2.2726,1,0
FEB 26,2.3150,2.3150,2.3150,2.3150,0.0312,2.2684,1,0
MAR 26,2.2965,2.2965,2.2965,2.2965,0.0312,2.2576,1,0
APR 26,2.2865,2.2865,2.2865,2.2865,0.0312,2.2452,1,0
MAY 26,2.2750,2.2750,2.2750,2.2750,0.0312,2.2308,1,0
JUN 26,2.2850,2.2850,2.2850,2.2850,0.0312,2.2337,1,0
JLY 26,-,-,-,-,0.0312,2.2316,0,0
AUG 26,-,-,-,-,0.0312,2.227,0,0
SEP 26,-,-,-,-,0.0312,2.2257,0,0
OCT 26,-,-,-,-,0.0312,2.2192,0,0
NOV 26,-,-,-,-,0.0312,2.2046,0,0
DEC 26,-,-,-,-,0.0312,2.2115,0,0
