Title: British Pound
Last Updated Date: Last Updated 17 May 2023 06:02:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
JUN 23,1.2494,1.2519,1.2430,1.2495,-0.0003,1.2492,86259,233977
JLY 23,1.2458,1.2525B,1.2438A,1.2525B,-0.0003,1.2499,50,267
AUG 23,1.2484,1.2530B,1.2444A,1.2466A,-0.0003,1.2504,7,2
SEP 23,1.2507,1.2536B,1.2449A,1.2510A,-0.0001,1.251,311,3872
OCT 23,-,-,-,-,-0.0001,1.2513,0,0
DEC 23,-,1.2540B,1.2455A,1.2455A,-0.0001,1.2517,0,8801
MAR 24,-,1.2539B,1.2455A,1.2455A,0.0001,1.2516,0,145
JUN 24,-,1.2525B,1.2444A,1.2444A,0.0003,1.2503,0,80
SEP 24,-,1.2504B,1.2424A,1.2424A,0.0002,1.248,0,21
DEC 24,-,-,-,-,0.0003,1.2458,0,0
MAR 25,-,-,-,-,0.0003,1.2436,0,0
JUN 25,-,-,-,-,0.0002,1.2415,0,0
SEP 25,-,-,-,-,0.0003,1.24,0,0
DEC 25,-,-,-,-,0.0003,1.2384,0,0
MAR 26,-,-,-,-,0.0003,1.2368,0,0
JUN 26,-,-,-,-,0.0004,1.2352,0,0
SEP 26,-,-,-,-,0.0004,1.2336,0,0
DEC 26,-,-,-,-,0.0004,1.232,0,0
MAR 27,-,-,-,-,0.0005,1.2305,0,0
JUN 27,-,-,-,-,0.0005,1.2289,0,0
SEP 27,-,-,-,-,0.0006,1.2273,0,0
DEC 27,-,-,-,-,0.0006,1.2257,0,0
MAR 28,-,-,-,-,0.0006,1.2241,0,0
