Title: European Low Sulphur Gasoil Financial
Last Updated Date: Last Updated 16 May 2023 10:32:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,0.261,676.554,0,3
JUN 23,-,-,-,-,0.159,677.614,0,38
JLY 23,-,-,-,-,0.0,676.5,0,1
AUG 23,-,-,-,-,0.0,677.37,0,1
SEP 23,-,-,-,-,-0.166,678.917,0,1
OCT 23,-,-,-,-,-0.409,678.068,0,4
NOV 23,-,-,-,-,-0.671,674.352,0,4
DEC 23,-,-,-,-,-0.75,672.513,0,26
JAN 24,-,-,-,-,-0.75,671.568,0,6

Title: European Low Sulphur Gasoil Financial
Last Updated Date: Last Updated 16 May 2023 10:32:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,0.261,676.554,0,3
JUN 23,-,-,-,-,0.159,677.614,0,38
JLY 23,-,-,-,-,0.0,676.5,0,1
AUG 23,-,-,-,-,0.0,677.37,0,1
SEP 23,-,-,-,-,-0.166,678.917,0,1
OCT 23,-,-,-,-,-0.409,678.068,0,4
NOV 23,-,-,-,-,-0.671,674.352,0,4
DEC 23,-,-,-,-,-0.75,672.513,0,26
JAN 24,-,-,-,-,-0.75,671.568,0,6

Title: 
Last Updated Date: 
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,0.196,0.659,0,30
JUN 23,-,-,-,-,0.625,2.0,0,30
JLY 23,-,-,-,-,0.5,0.667,0,30
AUG 23,-,-,-,-,0.666,0.166,0,30
SEP 23,-,-,-,-,1.25,0.25,0,30
OCT 23,-,-,-,-,0.083,1.0,0,30
NOV 23,-,-,-,-,0.084,1.0,0,30
DEC 23,-,-,-,-,0.084,1.0,0,30

Title: European Diesel 10 ppm Barges FOB ARA (Platts) vs. Low Sulphur Gasoil
Last Updated Date: Last Updated 16 May 2023 10:32:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,0.196,0.659,0,30
JUN 23,-,-,-,-,0.625,2.0,0,30
JLY 23,-,-,-,-,0.5,0.667,0,30
AUG 23,-,-,-,-,0.666,0.166,0,30
SEP 23,-,-,-,-,1.25,0.25,0,30
OCT 23,-,-,-,-,0.083,1.0,0,30
NOV 23,-,-,-,-,0.084,1.0,0,30
DEC 23,-,-,-,-,0.084,1.0,0,30

Title: European Low Sulphur Gasoil Financial
Last Updated Date: Last Updated 17 May 2023 09:30:00 AM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,0,-,0,3
JUN 23,-,-,-,-,0,-,0,38
JLY 23,-,-,-,-,0,-,0,1
AUG 23,-,-,-,-,0,-,0,1
SEP 23,-,-,-,-,0,-,0,1
OCT 23,-,-,-,-,0,-,0,4
NOV 23,-,-,-,-,0,-,0,4
DEC 23,-,-,-,-,0,-,0,26
JAN 24,-,-,-,-,0,-,0,6


Title: European Low Sulphur Gasoil Financial
Last Updated Date: Last Updated 17 May 2023 09:30:00 AM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,0,-,0,3
JUN 23,-,-,-,-,0,-,0,38
JLY 23,-,-,-,-,0,-,0,1
AUG 23,-,-,-,-,0,-,0,1
SEP 23,-,-,-,-,0,-,0,1
OCT 23,-,-,-,-,0,-,0,4
NOV 23,-,-,-,-,0,-,0,4
DEC 23,-,-,-,-,0,-,0,26
JAN 24,-,-,-,-,0,-,0,6


Title: 
Last Updated Date: 
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,0.261,676.554,0,3
JUN 23,-,-,-,-,0.159,677.614,0,38
JLY 23,-,-,-,-,0.0,676.5,0,1
AUG 23,-,-,-,-,0.0,677.37,0,1
SEP 23,-,-,-,-,-0.166,678.917,0,1
OCT 23,-,-,-,-,-0.409,678.068,0,4
NOV 23,-,-,-,-,-0.671,674.352,0,4
DEC 23,-,-,-,-,-0.75,672.513,0,26
JAN 24,-,-,-,-,-0.75,671.568,0,6

Title: European Low Sulphur Gasoil Financial
Last Updated Date: Last Updated 16 May 2023 10:32:00 PM CT
First Data:
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,0.261,676.554,0,3
Fourth Data:
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
AUG 23,-,-,-,-,0.0,677.37,0,1
